delivery_date,trigger_fraction,vid,rep,resampled_multiplier,nr_lateness,sa_lateness
INSTANCE_003,0.5,V3,5,0.8622392269969805,0.0,0.0
INSTANCE_003,0.5,V3,6,1.0264248054620404,0.0,0.0
INSTANCE_003,0.5,V3,7,0.8620259995641838,0.0,0.0
INSTANCE_003,0.5,V3,8,0.9141241600590736,0.0,0.0
INSTANCE_003,0.5,V3,9,0.8641821426346293,0.0,0.0
INSTANCE_003,0.5,V3,10,0.9532421995654592,0.0,0.0
INSTANCE_003,0.5,V3,11,0.8907514742588356,0.0,0.0
INSTANCE_003,0.5,V3,12,1.0553173445219677,0.0,0.0
INSTANCE_003,0.5,V3,13,0.8816220790906588,0.0,0.0
INSTANCE_003,0.5,V3,14,0.8643833628688705,0.0,0.0
INSTANCE_003,0.5,V3,15,1.062927406870324,0.0,0.0
INSTANCE_003,0.5,V3,16,1.0075822425351937,0.0,0.0
INSTANCE_003,0.5,V3,17,1.3524319042851258,0.0,0.0
INSTANCE_003,0.5,V3,18,1.052485304120219,0.0,0.0
INSTANCE_003,0.5,V3,19,1.0257450539352442,0.0,0.0
INSTANCE_003,0.75,V1,0,0.9211854734188176,0.0,0.0
INSTANCE_003,0.75,V1,1,1.0206355538569265,0.0,0.0
INSTANCE_003,0.75,V1,2,1.0543663768590927,0.0,0.0
INSTANCE_003,0.75,V1,3,1.289559815894179,0.0,0.0
INSTANCE_003,0.75,V1,4,1.0265599296804746,0.0,0.0
INSTANCE_003,0.75,V1,5,0.8937847186723955,0.0,0.0
INSTANCE_003,0.75,V1,6,0.9633994387340196,0.0,0.0
INSTANCE_003,0.75,V1,7,1.0335424935505932,0.0,0.0
INSTANCE_003,0.75,V1,8,0.9976600818897492,0.0,0.0
INSTANCE_003,0.75,V1,9,1.3175448024731606,0.0,0.0
INSTANCE_003,0.75,V1,10,1.188205668839501,0.0,0.0
INSTANCE_003,0.75,V1,11,1.029972959035976,0.0,0.0
INSTANCE_003,0.75,V1,12,0.9977207993103812,0.0,0.0
INSTANCE_003,0.75,V1,13,1.0785362869094035,0.0,0.0
INSTANCE_003,0.75,V1,14,0.9533847620609482,0.0,0.0
INSTANCE_003,0.75,V1,15,1.1028326622332307,0.0,0.0
INSTANCE_003,0.75,V1,16,1.0668779414103144,0.0,0.0
INSTANCE_003,0.75,V1,17,1.0933688029015818,0.0,0.0
INSTANCE_003,0.75,V1,18,1.000865027584959,0.0,0.0
INSTANCE_003,0.75,V1,19,1.007181758175017,0.0,0.0
INSTANCE_003,0.75,V2,0,0.8693568860036992,0.0,0.0
INSTANCE_003,0.75,V2,1,0.8766225867224798,0.0,0.0
