delivery_date,trigger_fraction,shock,seed,total_distance_km,total_lateness_min,nr_distance,otd_num,otd_den,rsi,moved_stops,n_vehicles,n_unchanged,n_harm,runtime_ms,block_fully_unchanged,block_any_harm
INSTANCE_039,0.25,delay20,101,387.8517000000001,0.0,345.4281,65,65,0.6776143790849672,27,3,0,0,7574.840545654297,0,0
INSTANCE_039,0.25,delay20,202,385.4657,0.0,345.4281,65,65,0.7203159041394335,25,3,0,0,9115.309476852415,0,0
INSTANCE_039,0.25,delay20,303,389.1488000000001,0.0,345.4281,65,65,0.7190087145969498,27,3,0,0,1925.1701831817627,0,0
INSTANCE_039,0.25,delay30,101,386.9368,2.8116666666667243,345.4281,64,65,0.7036492374727669,26,3,0,0,6607.492446899414,0,0
INSTANCE_039,0.25,delay30,202,391.4123000000001,2.974999999999909,345.4281,63,65,0.6756263616557735,27,3,0,0,8107.897281646728,0,0
INSTANCE_039,0.25,delay30,303,396.1608,2.8116666666667243,345.4281,64,65,0.6832516339869281,32,3,0,0,1877.2251605987549,0,0
INSTANCE_039,0.25,p85,101,358.1762,0.0,345.4281,65,65,0.6439270152505446,28,3,0,0,6818.00103187561,0,0
INSTANCE_039,0.25,p85,202,349.69190000000003,0.0,345.4281,65,65,0.6609477124183006,27,3,0,0,8826.897382736206,0,0
INSTANCE_039,0.25,p85,303,357.5449,0.0,345.4281,65,65,0.6512799564270152,28,3,0,0,1972.1662998199463,0,0
INSTANCE_039,0.25,p95,101,379.6437,0.0,345.4281,65,65,0.6578703703703704,28,3,0,0,7774.882078170776,0,0
INSTANCE_039,0.25,p95,202,375.4265,0.0,345.4281,65,65,0.7166938997821352,29,3,0,0,9251.852750778198,0,0
INSTANCE_039,0.25,p95,303,375.1581,0.0,345.4281,65,65,0.650871459694989,33,3,0,0,2094.21968460083,0,0
INSTANCE_039,0.5,delay20,101,365.7158,0.0,345.4281,65,65,0.756060606060606,14,3,1,0,2334.266185760498,0,0
INSTANCE_039,0.5,delay20,202,365.7158,0.0,345.4281,65,65,0.8015151515151514,14,3,1,0,2933.5501194000244,0,0
INSTANCE_039,0.5,delay20,303,375.7119,0.0,345.4281,65,65,0.7106060606060606,18,3,1,0,651.3288021087646,0,0
INSTANCE_039,0.5,delay30,101,383.9362,0.0,345.4281,65,65,0.7560606060606062,17,3,1,0,2571.821689605713,0,0
INSTANCE_039,0.5,delay30,202,383.9362,0.0,345.4281,65,65,0.7106060606060606,17,3,1,0,2728.687286376953,0,0
INSTANCE_039,0.5,delay30,303,383.9362,0.0,345.4281,65,65,0.7560606060606062,17,3,1,0,643.1498527526855,0,0
INSTANCE_039,0.5,p85,101,353.0087,0.0,345.4281,65,65,0.8914141414141414,13,3,1,0,2356.3766479492188,0,0
INSTANCE_039,0.5,p85,202,356.6567,0.0,345.4281,65,65,0.7146464646464645,21,3,0,0,2907.058000564575,0,0
INSTANCE_039,0.5,p85,303,353.0087,0.0,345.4281,65,65,0.8914141414141414,13,3,1,0,640.2750015258789,0,0
INSTANCE_039,0.5,p95,101,359.8184,0.0,345.4281,65,65,0.6969696969696969,21,3,0,0,2498.856544494629,0,0
INSTANCE_039,0.5,p95,202,359.8184,0.0,345.4281,65,65,0.6969696969696969,21,3,0,0,3032.779693603516,0,0
INSTANCE_039,0.5,p95,303,359.8537,0.0,345.4281,65,65,0.8409090909090908,13,3,1,0,681.363582611084,0,0
INSTANCE_039,0.75,delay20,101,345.9856,7.374999999999886,345.4281,64,65,0.9222222222222222,2,3,2,0,653.1281471252441,0,0
INSTANCE_039,0.75,delay20,202,345.9856,7.374999999999886,345.4281,64,65,0.9222222222222222,2,3,2,0,798.3500957489014,0,0
INSTANCE_039,0.75,delay20,303,345.9856,7.374999999999886,345.4281,64,65,0.9222222222222222,2,3,2,0,191.39552116394043,0,0
INSTANCE_039,0.75,delay30,101,345.9856,24.958333333333144,345.4281,63,65,0.9222222222222222,2,3,2,0,669.6212291717529,0,0
INSTANCE_039,0.75,delay30,202,345.9856,24.958333333333144,345.4281,63,65,0.9222222222222222,2,3,2,0,838.9992713928223,0,0
INSTANCE_039,0.75,delay30,303,345.9856,24.958333333333144,345.4281,63,65,0.9222222222222222,2,3,2,0,202.54039764404297,0,0
INSTANCE_039,0.75,p85,101,345.4281,0.0,345.4281,65,65,1.0,0,3,3,0,699.6986865997314,1,0
INSTANCE_039,0.75,p85,202,345.4281,0.0,345.4281,65,65,1.0,0,3,3,0,753.0100345611572,1,0
INSTANCE_039,0.75,p85,303,345.4281,0.0,345.4281,65,65,1.0,0,3,3,0,195.2300071716309,1,0
INSTANCE_039,0.75,p95,101,345.4281,0.0,345.4281,65,65,1.0,0,3,3,0,634.0422630310059,1,0
INSTANCE_039,0.75,p95,202,345.4281,0.0,345.4281,65,65,1.0,0,3,3,0,805.5121898651123,1,0
INSTANCE_039,0.75,p95,303,345.4281,0.0,345.4281,65,65,1.0,0,3,3,0,204.64777946472168,1,0
INSTANCE_040,0.25,delay20,101,400.7681,26.258333333333788,391.1116,51,55,0.6873579141801649,24,2,0,0,14431.15782737732,0,0
INSTANCE_040,0.25,delay20,202,399.10350000000005,31.675000000000075,391.1116,51,55,0.694604290991759,25,2,0,0,15633.723020553589,0,0
INSTANCE_040,0.25,delay20,303,397.7969000000001,35.00500000000046,391.1116,50,55,0.6982274793975561,24,2,0,0,3855.339050292968,0,0
INSTANCE_040,0.25,delay30,101,395.3275,77.9833333333338,391.1116,49,55,0.753481102585962,20,2,0,0,14461.77077293396,0,0
INSTANCE_040,0.25,delay30,202,399.6037,63.0333333333341,391.1116,50,55,0.7507637112816141,26,2,0,0,16057.384252548218,0,0
INSTANCE_040,0.25,delay30,303,399.6037,63.0333333333341,391.1116,50,55,0.7507637112816141,26,2,0,0,3971.676349639893,0,0
INSTANCE_040,0.25,p85,101,394.7123,20.075929333333647,391.1116,52,55,0.7516695083830633,24,2,0,0,13452.850580215454,0,0
INSTANCE_040,0.25,p85,202,394.6898,22.60929133333377,391.1116,51,55,0.7054738562091504,23,2,0,0,16236.882448196411,0,0
INSTANCE_040,0.25,p85,303,394.4362,18.74104933333342,391.1116,53,55,0.7978651605569764,22,2,0,0,3994.169235229492,0,0
INSTANCE_040,0.25,p95,101,428.7769,134.54093083333328,391.1116,49,55,0.6156045751633987,31,2,0,0,14596.894979476929,0,0
INSTANCE_040,0.25,p95,202,397.1085,97.15112499999998,391.1116,48,55,0.7181550156294402,21,2,0,0,16441.53618812561,0,0
INSTANCE_040,0.25,p95,303,394.2917,102.20724166666616,391.1116,48,55,0.829568059107701,24,2,0,0,4023.656606674194,0,0
INSTANCE_040,0.5,delay20,101,397.9246,23.43333333333373,391.1116,51,55,0.7126893939393939,13,2,0,0,3979.4886112213135,0,0
INSTANCE_040,0.5,delay20,202,398.1565,27.576666666667396,391.1116,51,55,0.8418560606060606,6,2,0,0,4546.897649765015,0,0
INSTANCE_040,0.5,delay20,303,397.9246,23.43333333333373,391.1116,51,55,0.7126893939393939,13,2,0,0,1249.7408390045166,0,0
INSTANCE_040,0.5,delay30,101,397.9246,66.1950000000005,391.1116,50,55,0.7126893939393939,13,2,0,0,4155.681848526001,0,0
INSTANCE_040,0.5,delay30,202,397.9246,66.1950000000005,391.1116,50,55,0.7126893939393939,13,2,0,0,4718.584299087524,0,0
INSTANCE_040,0.5,delay30,303,397.9246,66.1950000000005,391.1116,50,55,0.7126893939393939,13,2,0,0,1345.7789421081543,0,0
INSTANCE_040,0.5,p85,101,397.9246,12.794843333333688,391.1116,52,55,0.7126893939393939,13,2,0,0,3739.256381988525,0,0
INSTANCE_040,0.5,p85,202,397.9246,12.794843333333688,391.1116,52,55,0.7126893939393939,13,2,0,0,4632.805109024048,0,0
INSTANCE_040,0.5,p85,303,397.9246,12.794843333333688,391.1116,52,55,0.7126893939393939,13,2,0,0,1151.8537998199463,0,0
INSTANCE_040,0.5,p95,101,397.9246,56.675483333333325,391.1116,52,55,0.7126893939393939,13,2,0,0,4050.245523452759,0,0
INSTANCE_040,0.5,p95,202,397.9246,56.675483333333325,391.1116,52,55,0.7126893939393939,13,2,0,0,4636.780023574829,0,0
INSTANCE_040,0.5,p95,303,397.9246,56.675483333333325,391.1116,52,55,0.7126893939393939,13,2,0,0,1371.3786602020264,0,0
INSTANCE_040,0.75,delay20,101,397.7296,23.331666666667505,391.1116,52,55,0.5101190476190476,9,2,0,0,565.2401447296143,0,0
INSTANCE_040,0.75,delay20,202,397.7296,23.331666666667505,391.1116,52,55,0.5101190476190476,9,2,0,0,749.6628761291504,0,0
INSTANCE_040,0.75,delay20,303,397.7296,23.331666666667505,391.1116,52,55,0.5101190476190476,9,2,0,0,235.81433296203613,0,0
INSTANCE_040,0.75,delay30,101,397.7296,56.22000000000117,391.1116,51,55,0.5101190476190476,9,2,0,0,599.7583866119385,0,0
INSTANCE_040,0.75,delay30,202,397.7296,56.22000000000117,391.1116,51,55,0.5101190476190476,9,2,0,0,753.1266212463379,0,0
INSTANCE_040,0.75,delay30,303,397.7296,56.22000000000117,391.1116,51,55,0.5101190476190476,9,2,0,0,221.3318347930908,0,0
INSTANCE_040,0.75,p85,101,394.053,3.216979666666816,391.1116,54,55,0.6267857142857143,9,2,0,0,534.9781513214111,0,0
INSTANCE_040,0.75,p85,202,394.053,3.216979666666816,391.1116,54,55,0.6267857142857143,9,2,0,0,728.6114692687988,0,0
INSTANCE_040,0.75,p85,303,394.053,3.216979666666816,391.1116,54,55,0.6267857142857143,9,2,0,0,203.54270935058597,0,0
INSTANCE_040,0.75,p95,101,394.053,17.61989833333371,391.1116,53,55,0.6267857142857143,9,2,0,0,597.381591796875,0,0
INSTANCE_040,0.75,p95,202,394.053,17.61989833333371,391.1116,53,55,0.6267857142857143,9,2,0,0,723.2358455657959,0,0
INSTANCE_040,0.75,p95,303,394.053,17.61989833333371,391.1116,53,55,0.6267857142857143,9,2,0,0,236.91058158874512,0,0
INSTANCE_041,0.25,delay20,101,466.9618000000001,9.56333333333339,439.005,80,82,0.7488101567048936,30,3,1,0,17783.827781677246,0,0
INSTANCE_041,0.25,delay20,202,461.5248,9.56333333333339,439.005,80,82,0.7856952988531937,27,3,1,0,19712.658405303955,0,0
INSTANCE_041,0.25,delay20,303,475.4348,9.56333333333339,439.005,80,82,0.8131123262702209,26,3,1,0,5441.168546676636,0,0
INSTANCE_041,0.25,delay30,101,475.4781,31.693333333333385,439.005,79,82,0.7515948963317385,32,3,1,0,18541.374921798702,0,0
INSTANCE_041,0.25,delay30,202,507.8492,31.861666666666565,439.005,78,82,0.7826194273562695,33,3,1,0,19585.978269577023,0,0
INSTANCE_041,0.25,delay30,303,463.1748,36.250000000000114,439.005,78,82,0.7807650439229387,25,3,1,0,5267.951488494874,0,0
INSTANCE_041,0.25,p85,101,444.3731,0.0,439.005,82,82,0.8219981772613352,17,3,1,0,17696.7031955719,0,0
INSTANCE_041,0.25,p85,202,444.3732,0.0,439.005,82,82,0.837871193134351,18,3,1,0,20448.045253753666,0,0
INSTANCE_041,0.25,p85,303,442.493,0.0,439.005,82,82,0.783758639021797,28,3,1,0,5255.147695541382,0,0
INSTANCE_041,0.25,p95,101,480.5479,1.0615066666665598,439.005,81,82,0.7670312143996355,27,3,1,0,17441.12229347229,0,0
INSTANCE_041,0.25,p95,202,445.0043,0.0,439.005,82,82,0.7547657021341232,29,3,1,0,20269.92964744568,0,0
INSTANCE_041,0.25,p95,303,446.1924,0.0,439.005,82,82,0.7655882129566339,24,3,1,0,5621.327161788941,0,0
