delivery_date,trigger_fraction,vid,rep,resampled_multiplier,nr_lateness,liu_lateness
INSTANCE_006,0.5,V3,7,0.8766225867224798,0.0,0.0
INSTANCE_006,0.5,V3,8,1.0443700815782662,0.0,0.0
INSTANCE_006,0.5,V3,9,1.0933688029015818,0.0,0.0
INSTANCE_006,0.75,V1,0,0.9141241600590736,0.0,0.0
INSTANCE_006,0.75,V1,1,1.3032943998413409,0.0,0.0
INSTANCE_006,0.75,V1,2,0.9730064332140586,0.0,0.0
INSTANCE_006,0.75,V1,3,1.0805336175127418,0.0,0.0
INSTANCE_006,0.75,V1,4,1.0933688029015818,0.0,0.0
INSTANCE_006,0.75,V1,5,1.3032943998413409,0.0,0.0
INSTANCE_006,0.75,V1,6,1.031028278224195,0.0,0.0
INSTANCE_006,0.75,V1,7,0.9096963627216734,0.0,0.0
INSTANCE_006,0.75,V1,8,0.880755796222279,0.0,0.0
INSTANCE_006,0.75,V1,9,0.9677097615563328,0.0,0.0
INSTANCE_006,0.75,V2,0,1.0543663768590927,0.0,0.0
INSTANCE_006,0.75,V2,1,1.018318691956402,0.0,0.0
INSTANCE_006,0.75,V2,2,1.122274703284189,0.0,0.0
INSTANCE_006,0.75,V2,3,1.0093114265817889,0.0,0.0
INSTANCE_006,0.75,V2,4,1.0725153203874618,0.0,0.0
INSTANCE_006,0.75,V2,5,1.0661790585999142,0.0,0.0
INSTANCE_006,0.75,V2,6,1.0938011405543786,0.0,0.0
INSTANCE_006,0.75,V2,7,0.9860500301904004,0.0,0.0
INSTANCE_006,0.75,V2,8,0.8647763355505546,0.0,0.0
INSTANCE_006,0.75,V2,9,0.9332636260046188,0.0,0.0
INSTANCE_006,0.75,V3,0,0.8647763355505546,0.0,0.0
INSTANCE_006,0.75,V3,1,1.14509820157397,0.0,0.0
INSTANCE_006,0.75,V3,2,0.9628279497960548,0.0,0.0
INSTANCE_006,0.75,V3,3,0.9976600818897492,0.0,0.0
INSTANCE_006,0.75,V3,4,1.1350028873595026,0.0,0.0
INSTANCE_006,0.75,V3,5,1.0569736132014742,0.0,0.0
INSTANCE_006,0.75,V3,6,1.0298193229305517,0.0,0.0
INSTANCE_006,0.75,V3,7,0.9955838879647624,0.0,0.0
INSTANCE_006,0.75,V3,8,0.916180219798298,0.0,0.0
INSTANCE_006,0.75,V3,9,1.289559815894179,0.0,0.0
INSTANCE_012,0.25,V1,0,0.9332125938313875,0.0,0.0
INSTANCE_012,0.25,V1,1,0.9616398094187742,0.0,0.0
INSTANCE_012,0.25,V1,2,0.9283368949472788,0.0,0.0
INSTANCE_012,0.25,V1,3,0.9685274049053448,0.0,0.0
INSTANCE_012,0.25,V1,4,0.8750430865662231,0.0,0.0
INSTANCE_012,0.25,V1,5,0.9873198867754548,0.0,0.0
INSTANCE_012,0.25,V1,6,1.160928784209669,0.0,0.0
INSTANCE_012,0.25,V1,7,1.357481584824357,14.030619044200876,0.0
INSTANCE_012,0.25,V1,8,1.021248362954022,0.0,0.0
INSTANCE_012,0.25,V1,9,0.9829524543843334,0.0,0.0
INSTANCE_012,0.25,V2,0,1.0217346608569735,0.0,0.0
INSTANCE_012,0.25,V2,1,0.8990070562178624,0.0,0.0
INSTANCE_012,0.25,V2,2,0.9919309100108846,0.0,0.0
INSTANCE_012,0.25,V2,3,0.9754845175553202,0.0,0.0
INSTANCE_012,0.25,V2,4,1.0004212476182772,0.0,0.0
INSTANCE_012,0.25,V2,5,1.0536148665338825,0.0,0.0
INSTANCE_012,0.25,V2,6,0.9704608909424204,0.0,0.0
INSTANCE_012,0.25,V2,7,0.934202765686096,0.0,0.0
INSTANCE_012,0.25,V2,8,1.1044253146328182,0.0,0.0
INSTANCE_012,0.25,V2,9,0.9495654082242784,0.0,0.0
INSTANCE_012,0.25,V3,0,1.144054846394554,0.0,0.0
INSTANCE_012,0.25,V3,1,1.1690890500818183,1.1336156114641651,1.1336156114641651
INSTANCE_012,0.25,V3,2,0.9783936238175074,0.0,0.0
INSTANCE_012,0.25,V3,3,1.167094339839882,1.010551963088119,1.010551963088119
INSTANCE_012,0.25,V3,4,1.039657141720413,0.0,0.0
INSTANCE_012,0.25,V3,5,1.0264248054620404,0.0,0.0
